Bride Without Flowers	6001
Shila	6002
Anderson	6101
Kora	6076
Amaze	6053
Solid sea	6081
Mofet	6104
Aplatonic	6085
Celibacy	6086
Souls and holes	6087
Cordelia	6011
Dancing for Maya I	17
Talia	6013
Up on a Time	6015
Hardly knew you	6103
Violeta	6018
Revivim	6019
China Towns	6045
Miss	6099
Dabanville	6100
Match stick girl	6020
Hazuya	6021
Friedman	6022
Marry	6065
Elleny	6066
Tomri	6067
Adam	6068
Nathaniel	6072
John	6073
Soul mate	6088
Nina	6095
All aboard	6096
Shifra Biblical	6069
Up there	6105
Molly	6106
Exchange 1993	6109
Aner	6113
Have to hold	6114
Situationist	6115
Snob	6118
Ringo	6119
March 1st	6121
Mensch	6124
Mr Tambourine	6125
Sweet Serenade	6126
Tom	6128
Veil (W.I.G)	6136
Bottle of rum	6137
Visitor by night	6138
Louder	6139
Walking stick	6140
Desert Ski	6143
Snow Stool	6144
Games	6145
Stool w I g	6146
Honey I’m home	6149
Nafalti	6150
Flower Power	6152
Stretcher de Deux	6164
Planet Earth	6166
Flags	6167
Wet Green	6170
All those Grapes	6171
Brass net II	6174
Zinc 1	6175
Beril	6179
Shira	6181
Robin	6182
Reem	6183
Alexandra	6184
Sam I am	6185
Tiny basket	6187
Sectition luffa	6192
Tie & Die 1	6193
Stands alone	6195
Dreamcatcher	6196
Hope	6197
Hold on	6198
Salt hang gang	6199
Salt Noose	6200
Slopes	6201
Derrier	6202
Mask Corset	6203
Miss intefada	6204
First Ever Kertesch	6209
Bondage	6211
postcard stand 3	6214
Small Salt Bride	6215
postcard stand 2	6216
postcard stand 1	6217
Machbet 1	6219
Machbet 3	6221
Crystal Stumber	6226
Untitled	6227
שופר	6228
Best shofar	6229
חצוצרה בואדי	6230
מטפחת	6231
Glasses 3	6234
Lufa 1	6237
Half Guests	6058
Jean	6027
Sig Foot	6077
I wanted you	6080
Major tom	6078
Lee	6028
Siberia	6079
Rusty James	6082
Mumin	6238
Sal Tenne	6239
Machbet 6	6240
Ram	6242
paddle	6243
Camel dad	6246
Shay	6029
Forget me not	6030
Rose bud	6031
Lick	6032
Cinderman	6033
Yellow laces	6034
Rival	6035
Yaya	6037
Full Eclipse	6042
Tiara	6062
Copper Birthday Girl	6063
Home... Work	670
Home... Alone	671
Home... Sick	672
Home... Less	673
Come...Home	674
Go... Home	675
Troubled	6102
Edelweiss	6097
Place	6051
I never took you no	6083
Partnership	6084
Parents and Their Girl	874
Painting in Tokyo הדפס על נייר משי	883
Resident Alien I+II - Diptych Study	889
The Day Of The Earth	890
Untitled (Cafe Jihad)	894
Broken Brown, Broken White, Broken Green	895
Self portrait	899
Mothering of Roses	900
Blowjob	904
Spirals 2	919
Spirals 4	921
Straw rolls in German landscape	922
שווארמה שיש	868
Of the Cross	6264
Holes Roles Pillars and Poles	557
Praying Shepherd Sandals 2	563
Praying Shepherd Sandals 3	565
Three-Dimensional Wound	566
Olive Net Tapestry (inherent)	574
Rose in Bleed	1000
Hail Healing	1001
Raft	1002
Moon Pool	1003
Left Eye Can Still See	1006
The Time Before	1007
Running Out	1008
Stranding	1009
Red Green Dead Call	1010
Dry Water	1011
Salt Lake Sails	1012
Why Wait	1013
Green Currants	1014
MotheRed	1015
Mouth Red	1016
White Wedding	1017
Oil Soil /PYF_s	1115
Oil /PYF_s	1116
Whips /PYF_s	1117
Weeping /PYF_s	1118
The Singer in Gardens /PYF_s	1119
Sons of the Sun /PYF_s	1120
Saladin (Masik Maskanot) /PYF_s	1121
Flogging /PYF_s	1122
All Storm /PYF_s	1123
Erasing 1	1124
Erasing 2	1125
Erasing 3	1126
Erasing 4	1127
Erasing 5	1128
